Longitude, Latitude, Line Group (Path ID), Order of Points 
-122.59061477777777, 38.2394685, 1, 1 
-122.74332617821793, 38.142736873762374, 1, 2
-122.54215751200002, 38.13594806400001, 1, 3
-122.54025896774192, 38.10485312903226, 1, 4
-122.56067866666667, 38.08991852380953, 1, 5
-122.57202662500002, 38.11057808333333, 1, 6
-122.58685884313726, 38.13072429411765, 1, 7
-122.58685884313726, 38.13072429411765, 1, 8
-122.59090168965517, 38.11587741379309, 1, 9
-122.58445992000003, 38.09718464000001, 1, 10
-122.58445992000003, 38.09718464000001, 1, 11
-122.49404699999998, 38.04868366666667, 1, 12
-122.49404699999998, 38.04868366666667, 1, 13
-122.56639285000003, 38.0627971, 1, 14
-122.58979018571429, 38.03537061428571, 1, 15
-122.52091468749997, 38.02771539583332, 1, 16
-122.52091468749997, 38.02771539583332, 1, 17
-122.54804533333332, 37.99870833333333, 1, 18
-122.50764515217391, 37.981922043478264, 1, 19
-122.48020005128204, 37.98443192307691, 1, 20
-122.5372308787879, 37.96994781818182, 1, 21
-122.5372308787879, 37.96994781818182, 1, 22
-122.5224063703704, 37.960346370370374, 1, 23
-122.50689300000002, 37.966734062499995, 1, 24
-122.50689300000002, 37.966734062499995, 1, 25
-122.53065720000001, 37.945495959999995, 1, 26
-122.55000263013697, 37.947868821917815, 1, 27
-122.56504969491523, 37.96389622033899, 1, 28
-122.56504969491523, 37.96389622033899, 1, 29
-122.53577038983053, 37.93646877966102, 1, 30
-122.52247439393939, 37.90155884848483, 1, 31
-122.5075701764706, 37.89363747058823, 1, 32
-122.49238075000002, 37.90656482692308, 1, 33
-122.49238075000002, 37.90656482692308, 1, 34
-122.43112584615382, 37.86226833333334, 1, 35
-122.54122382456141, 37.912869263157894, 1, 36
-122.54122382456141, 37.912869263157894, 1, 37
-122.5482637631579, 37.89476132894737, 1, 38
-122.5482637631579, 37.89476132894737, 1, 39
-122.51287340909093, 37.870147772727265, 1, 40
-122.50005054285715, 37.866830199999995, 1, 41
-122.50005054285715, 37.866830199999995, 1, 42
-122.5923696080403, 37.923600658291456, 1, 43
-122.66583117142855, 37.92502968571428, 1, 44
-122.66583117142855, 37.92502968571428, 1, 45
-122.464495, 37.795349692307695, 1, 46
-122.4857553125, 37.7867209375, 1, 47
-122.47583366666666, 37.78367677777778, 1, 48
-122.48141818181817, 37.78285772727273, 1, 49
-122.48141818181817, 37.78285772727273, 1, 50
-122.48878553846151, 37.782561923076926, 1, 51
-122.48398233333334, 37.774659777777785, 1, 52
-122.49276457142857, 37.77648428571428, 1, 53
-122.49662346666668, 37.77703206666667, 1, 54
-122.49662346666668, 37.77703206666667, 1, 55
-122.50467266666665, 37.77955183333333, 1, 56
-122.50720727777778, 37.77704333333334, 1, 57
-122.50285357142856, 37.78320407142858, 1, 58
-122.46923484615385, 37.78456730769231, 1, 59
-122.46849215384614, 37.77737638461539, 1, 60
-122.46152255555555, 37.77779111111112, 1, 61
-122.45648966666668, 37.77849244444444, 1, 62
-122.45648966666668, 37.77849244444444, 1, 63
-122.4506532352941, 37.784394176470585, 1, 64
-122.45180721428572, 37.7887015, 1, 65
-122.45180721428572, 37.7887015, 1, 66
-122.43984870000001, 37.7867919, 1, 67
-122.44162885714285, 37.78975085714285, 1, 68
-122.43102988888889, 37.78797755555556, 1, 69
-122.43102988888889, 37.78797755555556, 1, 70
-122.42331733333333, 37.78745275, 1, 71
-122.42914084615383, 37.77977469230769, 1, 72
-122.42955222222223, 37.783446888888896, 1, 73
-122.42955222222223, 37.783446888888896, 1, 74
-122.43822723076923, 37.781426846153856, 1, 75
-122.43870570000001, 37.778322, 1, 76
-122.43870570000001, 37.778322, 1, 77
-122.43797588888889, 37.77486511111111, 1, 78
-122.44063088235295, 37.764784294117646, 1, 79
-122.44063088235295, 37.764784294117646, 1, 80
-122.43687969230768, 37.75976346153846, 1, 81
-122.43128300000001, 37.759646214285716, 1, 82
-122.43128300000001, 37.759646214285716, 1, 83
-122.43042475, 37.75426508333333, 1, 84
-122.43986592857141, 37.74840771428571, 1, 85
-122.44520755172414, 37.75230696551724, 1, 86
-122.44520755172414, 37.75230696551724, 1, 87
-122.44006139999998, 37.74062223333335, 1, 88
-122.45024472000001, 37.738102479999995, 1, 89
-122.45677954545454, 37.743491818181816, 1, 90
-122.45677954545454, 37.743491818181816, 1, 91
-122.466901, 37.74833179166667, 1, 92
-122.48054275000003, 37.74688991666667, 1, 93
-122.47017734999997, 37.752123600000004, 1, 94
-122.47017734999997, 37.752123600000004, 1, 95
-122.48215423076921, 37.75269576923077, 1, 96
-122.48215423076921, 37.75269576923077, 1, 97
-122.4917394, 37.76044233333334, 1, 98
-122.491327, 37.753211199999996, 1, 99
-122.49062809090907, 37.746474, 1, 100
-122.49062809090907, 37.746474, 1, 101
-122.49948764999999, 37.75706705, 1, 102
-122.50658273333332, 37.75623953333333, 1, 103
-122.50658273333332, 37.75623953333333, 1, 104
-122.4741668888889, 37.763094555555554, 1, 105
-122.4678544, 37.763049699999996, 1, 106
-122.4678544, 37.763049699999996, 1, 107
-122.42940772727273, 37.74938672727273, 1, 108
-122.42940772727273, 37.74938672727273, 1, 109
-122.42661300000002, 37.745522083333334, 1, 110
-122.42661300000002, 37.745522083333334, 1, 111
-122.421551, 37.737591, 1, 112
-122.42986704999998, 37.7373654, 1, 113
-122.42986704999998, 37.7373654, 1, 114
-122.420209, 37.73419255, 1, 115
-122.42756299999998, 37.726385416666666, 1, 116
-122.42756299999998, 37.726385416666666, 1, 117
-122.429021, 37.719909384615384, 1, 118
